gf_ticker,portif,name,note,buy,fair,trim,exit
BBWI,1,Bath & Body Works Inc,55.0,22.39,28.79,35.19,41.59
JST,1,Jost Werke SE,67.0,50.0,56.0,66.0,76.0
EPA:VIL,1,Viel et Compagnie SA,63.0,15.0,17.5,20.0,23.0
EPA:PUB,1,Publicis Groupe SA,69.0,68.0,82.0,95.0,110.0
TYO:4462,1,Ishihara Chemical Co Ltd,64.0,2300.0,2600.0,3000.0,3400.0
ADBE,1,Adobe Inc,71.0,220.0,275.0,325.0,380.0
LON:SUP,1,Supreme PLC,57.0,135.0,155.0,180.0,205.0
STO:EVO,1,Evolution AB (publ),68.0,530.0,620.0,740.0,850.0
EPA:CAP,1,Capgemini SE,63.0,90.0,110.0,130.0,145.0
BME:GSJ,1,Grupo Empresarial San Jose SA,54.0,7.25,8.6,9.8,10.75
TYO:4231,1,Tigers Polymer Corp,52.0,900.0,1100.0,1350.0,1600.0
EPA:IPS,0,Ipsos SA,59.0,28.0,33.0,40.0,46.0
AMS:EXO,1,Exor NV,61.0,58.0,68.0,80.0,95.0
HKG:0327,1,Pax Global Technology Ltd,50.0,3.75,4.9,6.1,7.1
BETS-B,0,Betsson AB,65.0,75.0,90.0,105.0,120.0
PYPL,1,PayPal Holdings Inc,60.0,35.0,50.0,65.0,80.0
LON:SAG,1,Science Group PLC,69.0,480.0,550.0,630.0,720.0
AMS:UMG,0,Universal Music Group NV,74.0,15.5,17.5,20.0,22.5
LON:IGG,1,IG Group Holdings plc,68.0,1200.0,1375.0,1600.0,1800.0
SGX:QES,0,China Sunsine Chemical Holdings Ltd,63.0,0.48,0.55,0.66,0.78
TYO:4832,1,JFE Systems Inc,61.0,1700.0,1900.0,2250.0,2550.0
EPA:TFI,0,Television Francaise 1 SA,56.0,5.8,6.6,7.8,8.8
HKG:3600,1,Modern Dental Group Ltd,66.0,5.0,6.0,7.2,8.4
TYO:7821,1,Maeda Kosen Co Ltd,70.0,1650.0,1850.0,2100.0,2350.0
TYO:7380,0,Juroku Financial Group Inc,67.0,1500.0,=1700,1960.0,2200.0
LON:ING,0,Ingenta PLC,58.0,80.0,94.0,108.0,123.0
ETR:TUI1,1,TUI AG,60.0,6.3,7.5,8.9,9.8
EPA:CDA,0,Compagnie des Alpes SA,66.0,22.0,27.0,33.0,40.0
LON:MTLN,0,Metlen Energy & Metals PLC,59.0,28.0,33.0,40.0,48.0
EPA:HAVAS,0,Havas NV,54.0,14.0,16.5,19.5,22.0
NASDAQ:KSPI,0,Kaspi.kz AO - ADR,76.0,63.8,81.2,98.5,115.9
EPA:ERF,0,Eurofins Scientific SE,65.0,55.0,66.0,78.0,90.0
MOUR,0,Moury Construct SA,65.0,600.0,760.0,930.0,1050.0
EPA:FDJU,0,FDJ United,61.0,22.0,26.0,31.0,36.0
ETR:KSB3,0,KSB SE & Co KgaA Preference Shares,65.0,850.0,980.0,1100.0,1230.0
LON:OSB,0,OSB Group PLC,65.0,460.0,535.0,625.0,695.0
ETR:DRW8,0,Draegerwerk AG & Co KGaA,66.0,61.0,68.0,79.0,92.0
EPA:NRO,0,Neurones SA,74.0,30.0,35.0,42.0,48.0
BN,0,Brookfield Corp,69.0,35.0,40.0,45.0,50.0
EPA:MC,0,LVMH Moet Hennessy Louis Vuitton SE,76.0,400.0,460.0,540.0,620.0
BME:CIE,0,CIE Automotive SA,68.0,23.0,27.0,33.0,38.0
